date,ticker,LAST_PRICE,sector
1970-07-21,SPX,76.98,Index
1970-07-22,SPX,77.03,Index
1970-07-23,SPX,78,Index
1970-07-24,SPX,77.82,Index
1970-07-27,SPX,77.65,Index
1970-07-28,SPX,77.77,Index
1970-07-29,SPX,78.04,Index
1970-07-30,SPX,78.07,Index
1970-07-31,SPX,78.05,Index
1970-08-03,SPX,77.02,Index
1970-08-04,SPX,77.19,Index
1970-08-05,SPX,77.18,Index
1970-08-06,SPX,77.08,Index
1970-08-07,SPX,77.28,Index
1970-08-10,SPX,76.2,Index
1970-08-11,SPX,75.82,Index
1970-08-12,SPX,75.42,Index
1970-08-13,SPX,74.76,Index
1970-08-14,SPX,75.18,Index
1970-08-17,SPX,75.33,Index
1970-08-18,SPX,76.2,Index
1970-08-19,SPX,76.96,Index
1970-08-20,SPX,77.64,Index
1970-08-21,SPX,79.24,Index
1970-08-24,SPX,80.99,Index
1970-08-25,SPX,81.12,Index
1970-08-26,SPX,81.21,Index
1970-08-27,SPX,81.08,Index
1970-08-28,SPX,81.86,Index
1970-08-31,SPX,81.52,Index
1970-09-01,SPX,80.95,Index
1970-09-02,SPX,80.96,Index
1970-09-03,SPX,82.09,Index
1970-09-04,SPX,82.83,Index
1970-09-08,SPX,83.04,Index
1970-09-09,SPX,82.79,Index
1970-09-10,SPX,82.3,Index
1970-09-11,SPX,82.52,Index
1970-09-14,SPX,82.07,Index
1970-09-15,SPX,81.36,Index
1970-09-16,SPX,81.79,Index
1970-09-17,SPX,82.29,Index
1970-09-18,SPX,82.62,Index
1970-09-21,SPX,81.91,Index
1970-09-22,SPX,81.66,Index
1970-09-23,SPX,82.83,Index
1970-09-24,SPX,83.91,Index
1970-09-25,SPX,83.97,Index
1970-09-28,SPX,83.86,Index
1970-09-29,SPX,84.3,Index
1970-09-30,SPX,84.21,Index
1970-10-01,SPX,84.32,Index
1970-10-02,SPX,85.16,Index
1970-10-05,SPX,86.47,Index
1970-10-06,SPX,86.85,Index
1970-10-07,SPX,86.89,Index
1970-10-08,SPX,85.95,Index
1970-10-09,SPX,85.08,Index
